ID1,ID2,species,data,state
ENOG4102NDK,KOG0469,Hs,0.215082059022,1
ENOG4102NDK,KOG0478,Hs,0.21665486449,0
ENOG4102NDK,KOG0480,Hs,0.256500123218,0
ENOG4102NDK,KOG0481,Hs,0.0594730410843,0
ENOG4102NDK,KOG0543,Hs,0.0783798111975,0
ENOG4102NDK,KOG0616,Hs,-0.15012306565,0
ENOG4102NDK,ENOG410IE8I,Dm,0.779186363458,
ENOG4102NDK,ENOG410IHD9,Dm,-0.0732058351897,
ENOG4102NDK,ENOG410IIN3,Dm,0.267706670197,
ENOG4102NDK,ENOG410IK5M,Dm,0.0673110003317,
ENOG4102NDK,ENOG410IP4N,Dm,-0.217806013449,
ENOG4102NDK,ENOG410IQ75,Dm,0.499644410618,
ENOG4102NDK,ENOG410IR3P,Dm,0.496606050972,
ENOG4102NDK,ENOG410IREB,Dm,0.865375980542,
ENOG4102NDK,ENOG410IRVA,Dm,-0.171084687198,
ENOG4102NDK,ENOG410IRZW,Dm,0.00389226647315,
ENOG4102NDK,ENOG410IT51,Dm,0.0704237152532,
ENOG4102NDK,ENOG410KD7N,Dm,-0.0680749340525,
ENOG4102NDK,ENOG410VIAK,Dm,0.533552484029,
ENOG4102NDK,KOG0007,Dm,-0.130190998555,
ENOG4102NDK,KOG0018,Dm,0.489653837143,
ENOG4102NDK,KOG0020,Dm,0.829070460856,
ENOG4102NDK,KOG0050,Dm,0.170009862164,
ENOG4102NDK,KOG0052,Dm,0.322437884629,
ENOG4102NDK,KOG0067,Dm,-0.271243637313,
ENOG4102NDK,KOG0103,Dm,0.30574203602,
ENOG4102NDK,KOG0107,Dm,0.274991595945,
ENOG4102NDK,KOG0113,Dm,0.596266862932,
ENOG4102NDK,KOG0115,Dm,-0.176014912837,
ENOG4102NDK,KOG0116,Dm,-0.264413778986,
ENOG4102NDK,KOG0122,Dm,0.587056083477,
ENOG4102NDK,KOG0123,Dm,0.595316110333,
ENOG4102NDK,KOG0174,Dm,-0.00263428235881,
ENOG4102NDK,KOG0175,Dm,0.0319619399925,
ENOG4102NDK,KOG0176,Dm,-0.00263154354509,
ENOG4102NDK,KOG0177,Dm,-0.00680624093917,
ENOG4102NDK,KOG0178,Dm,0.0502078538106,
ENOG4102NDK,KOG0179,Dm,0.0290347454416,
